Rank,Articles_Title,URL
1,"Show HN: I made a new sensor out of 3D printer filament for my PhD","https://paulbupejr.com/developing-the-optigap-sensor-system/"
2,"Using ClickHouse to scale an events engine","https://github.com/getlago/lago/wiki/Using-Clickhouse-to-scale-an-events-engine"
3,"Quantum Algorithms for Lattice Problems","https://eprint.iacr.org/2024/555"
4,"Vortex: OpenCL compatible RISC-V GPGPU","https://vortex.cc.gatech.edu/"
5,"The simple beauty of XOR floating point compression","https://clemenswinter.com/2024/04/07/the-simple-beauty-of-xor-floating-point-compression/"
6,"Stanley Kubrick did it his way","https://www.apollo-magazine.com/stanley-kubrick-biography-abrams-kolker-review/"
7,"Stacking triangles for fun and profit","https://www.oranlooney.com/post/angle-addition/"
8,"I discovered a critical exploit in ZeroMQ with mostly pure luck","https://fangpenlin.com/posts/2024/04/07/how-i-discovered-a-9-point-8-critical-security-vulnerability-in-zeromq-with-mostly-pure-luck/"
9,"Silver coin boom in medieval England due to melted down Byzantine treasures","https://www.theguardian.com/science/2024/apr/09/silver-coin-boom-in-medieval-england-due-to-melted-down-byzantine-treasures-study-reveals"
10,"Boy photographer seeks danger as others flee (1968)","https://www.vintag.es/2016/10/boy-photographer-seeks-danger-as-others.html"
